Model,Parameters,Train Error,Test Error
Linear Regression,2,96.70174180652626,118.0903717931654
Linear Regression,4,72.44201533149298,91.75451948277292
Linear Regression,7,46.43729203727463,61.56934727369075
Linear Regression,8,107.4599840490996,96.15811346771582
Ploynomial Degree 2,2,89.641181647598,122.96509972950976
Ploynomial Degree 2,4,63.77286072388967,89.4804130229263
Ploynomial Degree 2,7,31.88366048940576,51.15021409836739
Ploynomial Degree 2,8,53.698866798507275,48.11145341801107
Random Forest,2,11.466001441163897,104.93530487669197
Random Forest,4,7.747951158488133,80.15823901183879
Random Forest,7,4.804087353477052,45.99685109484284
Random Forest,8,4.1589816583330625,16.899580789557405
Neural Networks,2,87.044,123.243
Neural Networks,4,67.373,91.453
Neural Networks,7,41.462,52.788
Neural Networks,8,45.949,40.337
